,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target,Touches (Att 3rd),Touches (Att Pen)
318,Rodrigo Gomes,epl,0.14,0.00,0.14,0.06,0.06,0.11,2.99,3.41,8.82,0.57,0.28,0.25,0.09,0.10,1.56,0.14,0.57,2.56,0.00,0.28,20.33,3.55
319,Ben Brereton,epl,0.21,0.00,0.10,0.35,0.27,0.05,1.85,2.26,7.28,2.87,0.62,0.04,0.09,0.03,0.51,0.10,0.21,2.15,0.10,0.62,19.27,4.20
320,Jamie Vardy,epl,0.25,0.11,0.22,0.34,0.31,0.11,0.98,0.73,3.77,1.78,0.73,0.12,0.18,0.09,0.65,0.04,0.04,1.45,0.33,0.73,8.41,3.59
321,Reiss Nelson,epl,0.18,0.18,0.18,0.20,0.20,0.18,8.27,6.43,11.57,2.20,1.10,0.08,0.09,0.18,2.39,0.37,0.55,5.69,0.18,1.10,38.94,6.43
322,Dominic Calvert Lewin,epl,0.24,0.10,0.19,0.38,0.35,0.10,1.38,1.05,6.03,2.66,1.09,0.07,0.13,0.07,0.43,0.00,0.05,1.62,0.24,1.09,15.25,4.61
323,Joshua Zirkzee,epl,0.24,0.12,0.24,0.28,0.28,0.14,1.14,3.16,4.58,1.99,0.73,0.12,0.14,0.09,0.93,0.49,0.00,2.31,0.32,0.73,14.80,4.05
324,Neal Maupay,epl,0.34,0.34,0.34,0.35,0.35,0.19,1.03,3.17,6.85,1.63,0.86,0.21,0.22,0.11,1.11,0.09,0.00,1.88,0.43,0.86,14.90,4.11
325,Pablo Sarabia,epl,0.34,0.23,0.34,0.33,0.33,0.19,1.58,5.97,6.87,2.03,1.13,0.17,0.16,0.21,1.58,0.56,0.23,3.15,0.34,1.13,23.65,2.70
326,Yoane Wissa,epl,0.61,0.17,0.61,0.52,0.52,0.08,1.75,2.02,5.02,2.66,1.21,0.23,0.19,0.06,0.88,0.13,0.07,2.15,0.37,1.21,13.50,5.02
327,Niclas Fullkrug,epl,0.37,0.19,0.37,0.52,0.52,0.22,0.93,1.40,3.36,2.43,0.84,0.15,0.22,0.07,1.96,0.00,0.00,2.43,0.19,0.84,11.59,5.70
328,Kai Havertz,epl,0.54,0.19,0.54,0.48,0.48,0.16,1.53,2.67,6.26,2.64,1.14,0.20,0.18,0.13,1.24,0.10,0.06,2.58,0.25,1.14,20.54,5.88
329,Brajan Gruda,epl,0.12,0.24,0.12,0.14,0.14,0.27,3.33,2.86,8.10,0.95,0.48,0.13,0.15,0.25,2.26,0.00,0.24,4.88,0.48,0.48,25.48,5.24
330,Dango Ouattara,epl,0.29,0.21,0.29,0.36,0.36,0.23,3.33,1.98,8.46,2.78,0.97,0.11,0.13,0.14,1.43,0.25,0.42,3.07,0.29,0.97,22.27,5.68
331,Jarrod Bowen,epl,0.29,0.19,0.29,,0.28,0.20,3.36,2.82,6.02,2.79,,,,,,,,3.30,,,,5.25
332,Savio,epl,0.10,0.36,0.10,0.25,0.25,0.30,6.58,3.29,13.01,2.64,0.91,0.04,0.10,0.29,2.18,0.20,0.36,4.95,0.75,0.91,37.62,7.30
333,Chris Wood,epl,0.66,0.09,0.57,0.47,0.40,0.08,0.57,1.23,2.77,2.05,1.13,0.28,0.19,0.04,0.60,0.03,0.03,1.54,0.16,1.13,9.52,3.09
334,Leon Bailey,epl,0.09,0.14,0.09,0.13,0.13,0.23,3.99,2.58,7.98,1.92,0.47,0.05,0.07,0.24,1.45,0.52,0.14,3.00,0.28,0.47,21.73,4.74
335,Lucas Paqueta,epl,0.14,0.00,0.07,0.19,0.13,0.13,0.79,5.40,3.28,1.40,0.11,0.05,0.09,0.14,1.37,0.76,0.18,3.02,0.25,0.11,16.56,2.23
336,Gabriel Jesus,epl,0.30,0.20,0.30,0.43,0.43,0.13,2.37,2.57,10.36,2.86,1.09,0.10,0.15,0.11,1.48,0.10,0.10,2.76,0.59,1.09,27.63,7.11
337,Omari Hutchinson,epl,0.12,0.08,0.12,0.09,0.09,0.10,2.87,2.79,5.30,1.46,0.65,0.08,0.06,0.06,0.93,0.16,0.36,2.59,0.24,0.65,18.74,3.00
338,Stephy Mavididi,epl,0.22,0.06,0.22,0.10,0.10,0.14,5.07,3.18,7.69,1.45,0.39,0.15,0.07,0.18,1.23,0.33,0.39,2.79,0.39,0.39,23.46,3.40
339,Alejandro Garnacho,epl,0.16,0.16,0.16,0.34,0.34,0.18,6.32,2.12,12.01,3.76,1.28,0.04,0.09,0.11,1.55,0.05,0.14,3.79,0.33,1.28,28.38,7.87
