,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
436,Dennis Geiger,26,3.0,17,21,0
437,Max Moerstedt,19,7.0,17,17,3
438,Gift Orban,22,10.0,47,51,22
439,Andrej Kramaric,33,4.0,93,90,42
440,Jacob Bruun Larsen,26,6.0,20,28,13
441,Marvin Pieringer,25,5.5,73,70,31
442,Tim Kleindienst,29,17.0,93,92,46
443,Adrian Beck,27,2.0,47,48,9
444,Budu Zivzivadze,31,2.5,67,66,29
445,Mathias Honsak,28,1.5,37,40,16
446,Leo Scienza,26,3.0,40,40,16
447,Omar Traore,27,4.0,87,84,3
448,Frans Kratzig,22,2.0,43,38,7
449,Sirlord Conteh,28,1.5,13,30,6
450,Paul Wanner,19,18.0,60,59,13
451,Jamie Leweling,24,20.0,63,54,9
452,Benedict Hollerbach,23,7.5,87,82,37
453,Laszlo Benes,27,4.0,7,18,7
454,Andrej Ilic,25,2.5,28,27,17
455,Tim Skarke,28,2.5,33,38,7
456,Yorbe Vertessen,24,6.0,100,87,44
457,Yussuf Poulsen,30,5.0,7,11,2
458,Ridle Baku,27,7.0,90,83,13
459,Andre Silva,29,5.0,13,19,8
460,Benjamin Sesko,21,65.0,90,81,35
461,Christoph Baumgartner,25,15.0,53,54,6
462,Lois Openda,25,60.0,87,83,38
463,Dani Olmo,26,60.0,40,41,11
464,Samuel Essende,27,4.5,60,56,30
465,Ruben Vargas,26,7.0,60,50,20
466,Phillip Tietz,27,5.0,60,56,24
467,Arne Engels,21,12.0,75,69,0
468,Alexis Claude Maurice,26,12.0,72,70,39
469,Ermedin Demirovic,27,22.0,63,63,25
470,Steve Mounie,30,3.0,3,11,0
471,Fares Chaibi,22,9.0,30,33,3
472,Michy Batshuayi,31,5.0,30,28,15
473,Mario Gotze,32,5.0,60,57,9
474,Can Uzun,19,18.0,20,23,9
475,Omar Marmoush,26,75.0,33,44,14
476,Junior Dina Ebimbe,24,7.0,10,11,3
477,Hugo Ekitike,22,55.0,90,83,33
478,Igor Matanovic,22,6.0,7,11,2
479,Elye Wahi,22,25.0,8,16,0
480,Jean Matteo Bahoya,19,9.0,23,27,7
481,Justin Njinmah,24,7.0,30,32,13
482,Derrick Kohn,26,6.0,48,50,9
483,Marco Grull,26,4.0,40,40,15
484,Nick Woltemade,23,17.0,47,49,20
485,Eren Dinkci,23,12.0,43,44,9
486,Oliver Burke,28,1.8,23,26,10
487,Marvin Ducksch,31,7.5,87,78,29
488,Chris Fuhrich,27,18.0,67,64,9
489,Deniz Undav,28,22.0,53,51,18
490,El Bilal Toure,23,17.0,10,13,5
491,Enzo Millot,22,35.0,70,64,16
492,Fabian Rieder,23,7.0,23,30,9
493,Armindo Sieb,22,4.0,17,28,10
494,Nelson Weiper,20,6.0,23,25,8
495,Arnaud Nordin,26,6.0,0,7,0
496,Jonathan Burkardt,24,35.0,80,66,38
497,Brajan Gruda,20,25.0,18,17,2
498,Michael Gregoritsch,31,4.0,17,21,7
499,Lucas Holer,30,3.5,63,62,19
500,Vincenzo Grifo,32,7.5,90,79,42
501,Ritsu Doan,26,22.0,97,94,40
502,Junior Adamu,23,6.0,50,46,7
503,Merlin Rohl,22,12.0,37,35,2
504,Mohamed Amoura,24,32.0,87,83,38
505,Jonas Wind,26,15.0,63,66,21
506,Tiago Tomas,22,12.0,73,67,15
507,Andreas Skov Olsen,25,16.0,23,32,13
508,Patrick Wimmer,23,15.0,60,56,13
509,Nathan Tella,25,18.0,47,44,6
510,Victor Boniface,24,45.0,40,37,16
511,Patrik Schick,29,27.0,53,52,30
512,Amine Adli,24,22.0,17,22,5
513,Arthur,22,7.0,20,20,2
514,Martin Terrier,28,17.0,23,22,5
515,Florian Wirtz,21,140.0,70,74,31
516,Alassane Plea,32,6.0,73,64,33
517,Robin Hack,26,10.0,77,70,21
518,Franck Honorat,28,12.0,50,44,19
519,Tomas Cvancara,24,4.0,20,25,2
520,Rodrigo Gomes,21,15.0,18,21,2
521,Pablo Sarabia,32,7.0,18,23,10
522,Jean Ricner Bellegarde,26,18.0,55,50,17
523,Jorgen Strand Larsen,25,27.0,85,81,29
524,Fabio Silva,22,20.0,73,70,38
525,Pedro Neto,25,50.0,58,62,14
526,Nasser Djiga,22,10.0,0,2,0
527,Matheus Cunha,25,55.0,76,76,38
528,Goncalo Guedes,28,13.0,21,26,13
529,Marshall Munetsi,28,15.0,89,86,14
530,Bukayo Saka,23,150.0,50,48,27
531,Eddie Nketiah,25,22.0,24,28,7
532,Leandro Trossard,30,30.0,74,74,22
533,Gabriel Martinelli,23,55.0,62,64,17
534,Kai Havertz,25,70.0,62,60,19
535,Gabriel Jesus,28,40.0,18,20,5
536,Raheem Sterling,30,15.0,19,15,3
537,Ethan Nwaneri,18,55.0,29,26,10
538,Kieran Tierney,27,10.0,3,6,0
539,Mikel Merino,28,35.0,47,48,14
540,Patrick Dorgu,20,25.0,60,55,0
541,Mason Mount,26,28.0,12,11,0
542,Jadon Sancho,25,30.0,58,59,15
543,Alejandro Garnacho,20,45.0,64,66,16
544,Antony,25,20.0,92,86,22
545,Amad Diallo,22,40.0,52,54,34
546,Mason Greenwood,23,35.0,93,91,35
547,Marcus Rashford,27,50.0,67,69,43
548,Joshua Zirkzee,23,35.0,42,47,13
549,Rasmus Hojlund,22,45.0,58,56,11
550,Ollie Watkins,29,50.0,50,50,22
551,Morgan Rogers,22,50.0,75,73,33
552,Jacob Ramsey,23,32.0,50,57,22
553,Marco Asensio,29,20.0,67,66,29
554,Leon Bailey,27,32.0,41,37,6
555,Donyell Malen,26,25.0,33,31,0
556,Facundo Buonanotte,20,22.0,39,48,22
557,Deniz Undav,28,22.0,53,51,18
558,Yankuba Minteh,20,30.0,48,50,17
559,Danny Welbeck,34,5.0,61,59,25
560,Georginio Rutter,23,32.0,59,58,16
561,Simon Adingra,23,30.0,24,28,6
562,Julio Enciso,21,22.0,30,28,8
563,Joao Pedro,23,50.0,70,66,30
564,Brajan Gruda,20,25.0,18,17,2
565,Kaoru Mitoma,27,45.0,85,84,21
566,Dominic Calvert Lewin,28,20.0,58,53,15
567,Ashley Young,39,0.5,52,53,12
568,Carlos Alcaraz,22,14.0,33,42,18
569,Jack Harrison,28,16.0,64,62,6
570,Jesper Lindstrom,25,20.0,45,42,3
571,Neal Maupay,28,10.0,46,41,15
572,Beto,27,20.0,30,38,18
573,Iliman Ndiaye,25,22.0,76,72,21
574,Mathys Tel,19,40.0,46,41,15
575,Richarlison,27,25.0,9,13,8
576,Mikey Moore,17,15.0,6,6,2
577,Timo Werner,29,10.0,12,17,5
578,Wilson Odobert,20,18.0,18,17,0
579,Dejan Kulusevski,24,60.0,76,75,18
580,Bryan Gil,24,15.0,66,60,15
581,Brennan Johnson,23,50.0,67,67,26
582,Giovani Lo Celso,29,20.0,39,44,18
583,Dominic Solanke,27,45.0,70,69,16
584,Nicolas Jackson,23,55.0,76,69,24
585,Noni Madueke,23,40.0,67,56,19
586,Joao Felix,25,25.0,0,18,14
587,Christopher Nkunku,27,45.0,27,31,9
588,Jamie Vardy,38,1.0,94,84,37
589,Jordan Ayew,33,3.5,45,45,15
590,Stephy Mavididi,26,11.0,48,54,19
591,Alex Iwobi,28,25.0,94,89,29
592,Michail Antonio,35,1.0,33,28,5
593,Crysencio Summerville,23,22.0,21,26,5
594,Lucas Paqueta,27,35.0,76,73,11
595,Niclas Fullkrug,32,12.0,12,18,14
596,Carlos Soler,28,20.0,45,48,6
597,Mohammed Kudus,24,50.0,82,76,14
598,Joelinton,28,40.0,88,81,11
599,Joe Willock,25,28.0,27,29,3
600,Jacob Murphy,30,16.0,79,69,31
601,Harvey Barnes,27,30.0,36,45,23
602,Anthony Gordon,24,65.0,76,74,19
