,Name,Age,Market Value,Starting Eleven,Minutes,Goal Involvement
207,Yann Gboho,24,8.0,80,76,13
208,Jim Allevinah,30,1.8,70,58,14
209,Zinedine Ferhat,32,1.2,20,27,7
210,Lilian Raolisoa,24,0.7,37,39,7
211,Ibrahima Niane,26,1.5,27,35,14
212,Esteban Lepaul,25,5.0,47,47,24
213,Farid El Melali,27,4.0,73,67,31
214,Bamba Dieng,25,3.5,18,21,14
215,Himad Abdelli,25,7.0,93,92,24
216,Ismael Kone,22,10.0,17,24,3
217,Arnaud Kalimuendo,23,20.0,93,86,40
218,Kyogo Furuhashi,30,12.0,9,12,0
219,Ludovic Blas,27,18.0,77,74,31
220,Martin Terrier,28,17.0,23,22,5
221,Albert Gronbaek,23,12.0,18,14,0
222,Andre Ayew,35,0.7,54,57,19
223,Antoine Joujou,22,2.5,30,34,6
224,Christopher Operi,27,4.0,33,34,0
225,Yassine Kechta,23,5.0,70,66,9
226,Josue Casimir,23,3.5,63,61,24
227,Yanis Zouaoui,26,0.8,30,35,6
228,Loic Nego,34,0.8,80,78,3
229,Issa Soumare,24,1.5,57,57,21
230,Khalil Fayad,20,4.0,23,29,0
231,Tanguy Coulibaly,24,1.8,43,42,9
232,Wahbi Khazri,34,1.5,33,39,9
233,Arnaud Nordin,26,6.0,0,7,0
234,Andy Delort,33,2.0,73,61,0
235,Akor Adams,25,7.5,8,12,0
236,Dilane Bakwa,22,18.0,83,81,27
237,Emanuel Emegha,22,20.0,83,79,31
238,Sebastian Nanasi,22,15.0,83,74,19
239,Sekou Mara,22,6.0,21,24,4
240,Habib Diarra,21,20.0,83,79,15
241,Felix Lemarechal,21,7.0,53,53,10
242,Valentin Barco,20,8.0,91,83,13
243,Chuba Akpom,29,8.0,40,50,14
244,Hakon Arnar Haraldsson,22,15.0,57,54,13
245,Osame Sahraoui,23,12.0,33,45,13
246,Nabil Bentaleb,30,8.0,3,6,2
247,Mitchel Bakker,24,7.0,46,43,12
248,Matias Fernandez Pardo,20,10.0,29,29,14
249,Edon Zhegrova,26,25.0,40,36,11
250,Remy Cabella,35,3.0,37,33,6
251,Jonathan David,25,45.0,80,82,43
252,Matteo Cancellieri,23,5.0,58,48,8
253,Dennis Man,26,12.5,70,67,24
254,Ange Yoan Bonny,21,20.0,76,72,24
255,Valentin Mihaila,25,3.0,48,44,8
256,Pontus Almqvist,25,2.5,30,37,5
257,Milan Djuric,34,1.5,48,50,16
258,Daniel Maldini,23,10.0,48,48,11
259,Keita Balde,30,1.0,67,58,25
260,Gaetano Castrovilli,28,3.5,15,18,0
261,Gianluca Caprari,31,1.5,39,43,12
262,Andrea Colpani,25,12.0,55,48,8
263,Dany Mota,26,5.0,67,64,28
264,Paulo Dybala,31,8.0,48,48,19
265,Alexis Saelemaekers,25,17.0,48,44,20
266,Eldor Shomurodov,29,4.0,18,25,13
267,Edoardo Bove,22,5.0,33,29,8
268,Tommaso Baldanzi,22,14.0,15,25,4
269,Artem Dovbyk,27,30.0,73,74,29
270,Tammy Abraham,27,15.0,75,66,38
271,Matias Soule,22,22.0,52,46,13
272,Valentino Lazaro,29,4.5,70,69,18
273,Duvan Zapata,34,4.0,21,20,8
274,Che Adams,28,15.0,79,76,32
275,Antonio Sanabria,29,4.0,45,42,8
276,Yann Karamoh,26,2.2,30,34,5
277,Pietro Pellegri,24,2.5,25,19,0
278,Nikola Vlasic,27,8.0,58,59,21
279,Noah Okafor,24,15.0,16,16,2
280,Yunus Musah,22,22.0,25,38,0
281,Santiago Gimenez,24,37.0,0,17,14
282,Riccardo Sottil,25,6.0,26,31,5
283,Christian Pulisic,26,50.0,75,72,0
284,Charles De Ketelaere,24,38.0,67,61,17
285,Alvaro Morata,32,13.0,25,23,9
286,Samuel Chukwueze,25,14.0,25,26,15
287,Joao Felix,25,25.0,0,18,14
288,Rafael Leao,25,75.0,75,67,15
289,Emmanuel Gyasi,31,2.0,40,48,0
290,Junior Sambia,28,1.4,75,81,0
291,Lorenzo Colombo,23,6.0,60,59,6
292,Giuseppe Pezzella,27,2.5,20,42,0
293,Ola Solbakken,26,2.5,50,46,0
294,Sebastiano Esposito,22,10.0,40,50,18
295,Christian Kouame,27,6.0,30,38,7
296,Timothy Weah,25,17.0,48,47,16
297,Dusan Vlahovic,25,45.0,64,59,27
298,Francisco Conceicao,22,36.0,32,40,14
299,Samuel Mbangula,21,14.0,21,23,14
300,Andrea Cambiaso,25,40.0,64,66,8
301,Kenan Yildiz,19,45.0,76,74,18
