,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
590,Rafael Leao,seriea,0.32,0.27,0.32,0.34,0.34,0.29,4.69,3.8,10.76,2.48,1.21,0.13,0.14,0.25,2,0.4,0.3,4.31,0.62,1.21,25.7,6.31,25,75,75,67,15
591,Raheem Sterling,epl,0.23,0.45,0.23,0.36,0.27,0.18,4.85,3.16,11.28,2.26,0.79,0.1,0.12,0.16,1.8,0.11,0.34,3.83,0.9,0.79,34.62,6.88,30,15,19,15,3
592,Ramon Terrats,laliga,0.34,0.09,0.34,0.15,0.15,0.22,1.03,3.77,3.09,1.2,0.6,0.29,0.12,0.12,1.2,0.26,0.17,2.83,0.17,0.6,16.97,1.71,24,4,33,32,7
594,Randal Kolo Muani,ligue1,0.44,0.19,0.31,0.57,0.47,0.13,1.37,1.49,8.21,2.49,1,0.13,0.19,0.08,1.31,0.19,0.06,2.67,0.5,1,17.04,6.28,26,30,67,71,40
595,Randy Nteka,laliga,0.24,0,0.24,0.26,0.26,0.04,1.03,0.63,3.71,1.66,0.79,0.14,0.16,0.04,0.79,0.08,0,1.89,0,0.79,15.14,3.87,27,1.5,47,37,9
596,Raphinha,laliga,0.68,0.42,0.61,0.56,0.5,0.46,3.13,4.45,10.41,3.59,1.34,0.17,0.14,0.33,2.98,0.32,0.56,5.38,0.83,1.34,33.37,5.55,28,80,85,83,29
597,Rasmus Hojlund,epl,0.36,0.07,0.36,0.28,0.28,0.14,1.37,1.04,4.34,1.66,0.78,0.22,0.17,0.06,1.04,0.07,0.03,2.12,0.13,0.78,10.84,3.72,22,45,58,56,11
598,Raul,laliga,0.41,0,0.41,0.33,0.33,0.06,1.46,1.71,4.47,2.68,1.38,0.15,0.13,0.04,0.32,0,0,1.95,0.16,1.38,14.3,4.39,,,,,
599,Raul Jimenez,epl,0.5,0.13,0.38,0.46,0.36,0.13,1.33,2.33,5.13,3.33,1.17,0.11,0.11,0.08,0.75,0.13,0.17,2.25,0.25,1.17,16.96,6.17,33,5,76,69,27
600,Raul Moro,laliga,0.19,0.1,0.19,0.16,0.16,0.2,4.28,3.31,7.64,1.8,0.63,0.11,0.09,0.22,1.8,0.19,0.92,3.85,0.24,0.63,21.66,4.33,22,5,63,64,26
601,Rayan Cherki,ligue1,0.38,0.57,0.38,0.24,0.24,0.47,4.67,9.03,7.7,2.21,0.85,0.17,0.11,0.51,3.63,0.98,0.19,6.69,1.04,0.85,36.71,6.03,21,35,63,65,29
602,Reiss Nelson,epl,0.18,0.18,0.18,0.2,0.2,0.18,8.27,6.43,11.57,2.2,1.1,0.08,0.09,0.18,2.39,0.37,0.55,5.69,0.18,1.1,38.94,6.43,,,,,
603,Remi Oudin,seriea,0,0,0,0.1,0.1,0.14,0.35,2.94,5.02,1.56,0.17,0,0.07,0.23,1.73,0.35,0.35,3.81,0.17,0.17,17.65,1.38,,,,,
604,Remy Cabella,ligue1,0.06,0.19,0.06,0.26,0.26,0.16,3.98,6.35,10.15,2.3,0.5,0.03,0.11,0.26,1.68,0.12,0.5,4.54,0.5,0.5,37.72,4.67,35,3,37,33,6
605,Remy Labeau Lascary,ligue1,0.28,0.14,0.28,0.35,0.35,0.16,2.4,0.99,10.03,1.98,0.71,0.14,0.18,0.08,0.99,0.14,0.85,2.83,0.71,0.71,21.33,4.38,22,2.5,20,24,9
606,Riccardo Orsolini,seriea,0.53,0.13,0.4,0.38,0.28,0.17,2.85,3.78,9.17,3.34,1.16,0.12,0.08,0.15,1.47,0.18,0.53,2.98,0.18,1.16,23.5,4.14,28,20,67,42,25
607,Riccardo Sottil,seriea,0.17,0.26,0.17,0.12,0.12,0.23,7.68,2.44,11.35,2.36,0.61,0.07,0.05,0.24,1.57,0.17,0.7,3.93,0.61,0.61,24.18,4.36,25,6,26,31,5
608,Richarlison,epl,0.77,0.26,0.64,0.71,0.61,0.17,1.91,2.17,4.72,3.32,1.28,0.19,0.19,0.15,0.77,0,0.38,1.91,0.26,1.28,14.43,6.13,27,25,9,13,8
609,Ricky van Wolfswinkel,eredivisie,0.22,0,0,0.42,0.17,0.02,0.43,1.74,1.74,1.41,0.22,0,0.12,0.02,0.43,0,0,1.2,0.22,0.22,10.76,2.72,,,,,
610,Ridle Baku,bundesliga,0.11,0.11,0.11,0.11,0.11,0.07,1.31,2.93,6.29,1.38,0.39,0.08,0.08,0.11,0.88,0.18,0.32,2.26,0.32,0.39,19.51,2.51,27,7,90,83,13
611,Ritsu Doan,bundesliga,0.34,0.22,0.34,0.22,0.22,0.12,2.03,3.63,5.79,2.03,0.72,0.17,0.12,0.17,0.91,0.38,0.41,3.25,0.47,0.72,20.15,3.47,26,22,97,94,40
612,Robert Lewandowski,laliga,0.99,0.05,0.82,0.86,0.71,0.1,0.99,2.02,5.26,3.36,1.55,0.24,0.21,0.07,0.73,0.14,0.02,1.69,0.16,1.55,15.67,5.75,36,15,20,22,16
613,Roberto Fernandez,laliga,0.37,0.07,0.37,0.32,0.32,0.05,0.89,0.96,3.84,1.99,0.81,0.19,0.16,0.03,0.44,0,0,1.7,0.37,0.81,10.11,2.95,22,4,92,86,33
614,Roberto Navarro,laliga,0.05,0,0.05,0.13,0.13,0.16,3.14,3.55,6.17,1.44,0.46,0.04,0.09,0.11,1.34,0.26,0.26,3.5,0.1,0.46,20.56,2.98,,,,,
615,Roberto Piccoli,seriea,0.25,0.03,0.22,0.35,0.33,0.04,0.87,1.06,4.78,2.73,0.84,0.08,0.12,0.02,0.43,0,0,1.58,0.16,0.84,11.09,4.23,24,8,100,94,36
616,Robin Hack,bundesliga,0.25,0.21,0.25,0.22,0.22,0.14,2.32,3.91,5.64,2.32,1.01,0.11,0.1,0.14,1.22,0.55,0.42,2.69,0.38,1.01,17.6,3.41,26,10,77,70,21
617,Rodrigo Gomes,epl,0.14,0,0.14,0.06,0.06,0.11,2.99,3.41,8.82,0.57,0.28,0.25,0.09,0.1,1.56,0.14,0.57,2.56,0,0.28,20.33,3.55,21,15,18,21,2
618,Rodrigo Muniz,epl,0.69,0.08,0.69,0.52,0.52,0.05,0.46,2.29,3.13,3.36,1.76,0.2,0.15,0.02,0.53,0.23,0,1.68,0.15,1.76,11.31,5.04,,,,,
619,Rodrygo,laliga,0.31,0.19,0.31,0.22,0.22,0.16,5.11,4.36,10.99,2.58,1,0.12,0.08,0.19,1.97,0.03,0.08,4.5,0.44,1,36.11,5.86,24,100,40,34,11
620,Roland Sallai,bundesliga,0.32,0,0.32,0.34,0.21,0.15,2.75,3.07,6.46,2.59,0.81,0.13,0.08,0.11,1.13,0.16,0.32,3.07,0.16,0.81,21.01,2.42,,,,,
621,Romain Del Castillo,ligue1,0.29,0.18,0.12,0.28,0.09,0.26,2.81,4.75,7.97,1.05,0.53,0.11,0.08,0.29,2.58,0.18,0.7,5.04,0.53,0.53,29.47,2.52,29,8,40,40,17
622,Romain Faivre,ligue1,0.22,0.15,0.15,0.19,0.13,0.16,2.61,4.09,4.24,1.41,0.67,0.11,0.1,0.14,1.12,0.3,0.07,3.42,0.3,0.67,18.91,2.75,26,7,33,33,10
623,Romelu Lukaku,seriea,0.46,0.31,0.37,0.42,0.32,0.12,1.05,1.08,7.08,2.01,0.74,0.18,0.16,0.08,1.24,0.15,0.06,2.44,0.46,0.74,13.04,4.94,31,22,97,88,45
624,Ruben Garcia,laliga,0.15,0.19,0.15,0.13,0.13,0.13,1.36,4.08,5.66,1.09,0.34,0.14,0.12,0.18,1.74,0.08,0.57,3.81,0.45,0.34,23.14,2.38,31,2,76,69,20
625,Ruben Pena,laliga,0,0.08,0,0.07,0.07,0.12,2.55,3.19,6.77,1.27,0.48,0,0.06,0.14,1.83,0,0.56,3.27,0.08,0.48,22.3,2.39,33,1.8,18,22,0
627,Ruben Vargas,bundesliga,0.24,0.08,0.24,0.26,0.26,0.14,3.26,2.62,8.5,2.3,0.56,0.1,0.12,0.17,1.67,0,0.48,4.13,0.24,0.56,24.55,3.97,26,7,60,50,20
628,Ruslan Malinovskyi,seriea,0.2,0.4,0.2,0.1,0.1,0.32,0.79,7.71,2.18,2.37,0.99,0.08,0.04,0.16,1.78,1.58,0,3.56,0.4,0.99,15.82,0.2,31,3.5,12,13,7
629,Said Benrahma,ligue1,0.29,0.44,0.29,0.27,0.27,0.38,4.59,4.08,13.18,2.84,0.8,0.1,0.09,0.42,2.04,0.44,0.51,3.57,0.73,0.8,28.47,4.59,29,15,92,91,32
630,Sammie Szmodics,epl,0.37,0,0.37,0.31,0.31,0.02,1.47,1.65,4.23,1.93,1.1,0.19,0.16,0.05,0.37,0,0.09,0.83,0,1.1,10.66,3.03,29,12,39,33,12
631,Samuel Chukwueze,seriea,0.21,0.14,0.21,0.22,0.22,0.29,5.02,3.77,13.53,3,0.77,0.07,0.07,0.27,2.65,0.42,0.49,5.16,0.35,0.77,31.74,5.58,25,14,25,26,15
632,Samuel Essende,bundesliga,0.42,0.12,0.42,0.2,0.2,0.07,1.87,1.02,6.69,2.29,0.78,0.18,0.09,0.08,0.54,0,0.06,1.39,0.18,0.78,14.7,4.94,27,4.5,60,56,30
633,Samuel Iling Junior,seriea,0.26,0,0.26,0.08,0.08,0.1,3.77,2.86,8.97,1.17,0.39,0.22,0.07,0.13,1.3,0.26,0.91,3.38,0.13,0.39,26.79,1.95,21,11,60,66,18
634,Samuel Mbangula,seriea,0.39,0.29,0.39,0.13,0.13,0.19,3.19,2.32,6.68,1.16,0.77,0.33,0.11,0.15,1.65,0,0.58,2.52,0.48,0.77,21.58,2.9,21,14,21,23,14
635,Sandro Ramirez,laliga,0.34,0.13,0.34,0.2,0.17,0.12,2.35,2.23,5.96,2.18,0.92,0.15,0.08,0.13,1.13,0.04,0.17,2.56,0.25,0.92,19.02,3.32,29,2.5,70,63,29
636,Santiago Castro,seriea,0.3,0.17,0.3,0.26,0.23,0.11,0.6,1.31,5.3,2.18,0.74,0.14,0.1,0.06,1.14,0.17,0,2.42,0.37,0.74,13.29,3.62,20,35,33,38,63
640,Santiago Gimenez,eredivisie,0.71,0.18,0.62,0.63,0.49,0.09,1.5,1.06,4.32,2.47,1.15,0.25,0.2,0.06,0.88,0.18,0.09,2.03,0.35,1.15,12.08,4.32,24,37,55,58,17
641,Santiago Pierotti,seriea,0.2,0.15,0.2,0.14,0.14,0.09,2.1,1.65,4.34,1.65,0.45,0.12,0.09,0.05,1.15,0.1,0.15,2.5,0.1,0.45,13.28,3.94,24,4,58,56,26
642,Savio,epl,0.1,0.36,0.1,0.25,0.25,0.3,6.58,3.29,13.01,2.64,0.91,0.04,0.1,0.29,2.18,0.2,0.36,4.95,0.75,0.91,37.62,7.3,,,,,
643,Sayfallah Ltaief,eredivisie,0.19,0,0.19,0.09,0.09,0.23,5.25,3.94,10.69,1.69,0.75,0.11,0.06,0.17,0.94,0.19,0.56,2.63,0,0.75,27,3.94,25,2,37,42,5
644,Sebastian Nanasi,ligue1,0.23,0.19,0.23,0.27,0.27,0.19,2.35,5.21,5.21,1.17,0.47,0.2,0.23,0.19,1.46,0.38,0.09,3.48,0.75,0.47,16.06,3.1,22,15,83,74,19
645,Sebastiano Esposito,seriea,0.36,0,0.31,0.25,0.17,0.09,1.34,3.72,3.85,2.38,0.76,0.13,0.07,0.09,1.39,0.27,0.13,3.18,0.22,0.76,18.74,3.9,22,10,40,50,18
646,Sekou Mara,ligue1,0.14,0.14,0.14,0.15,0.15,0.14,0.84,1.4,5.44,2.09,0.42,0.07,0.07,0.07,0.7,0.28,0,1.4,0.28,0.42,13.81,3.21,22,6,21,24,4
647,Serge Gnabry,bundesliga,0.33,0.33,0.33,0.47,0.43,0.35,3.4,3.79,12.14,3.18,1.26,0.1,0.14,0.37,1.59,0.44,0.16,4.17,0.82,1.26,32.07,7.25,29,25,33,36,11
648,Sergi Canos,laliga,0,0.13,0,0.29,0.29,0.09,1.99,3.19,7.84,3.46,1.06,0,0.08,0.13,1.33,0.13,0.66,4.39,0.13,1.06,26.45,5.58,28,1.5,6,12,3
649,Sergi Darder,laliga,0.1,0.21,0.1,0.1,0.1,0.14,1.48,4.84,2.95,1.41,0.45,0.07,0.07,0.18,1.89,0.31,0.45,3.54,0.24,0.45,17.51,1.17,31,4,88,78,19
650,Sergio Camello,laliga,0.19,0.13,0.19,0.28,0.28,0.16,1.51,2.08,4.85,2.46,0.69,0.08,0.11,0.08,1.51,0.5,0,3.15,0.31,0.69,15.24,3.65,24,3.5,44,40,14
651,Serhou Guirassy,bundesliga,0.78,0.22,0.61,0.81,0.65,0.18,0.9,1.59,4.9,3.02,1.32,0.2,0.22,0.13,1.12,0.29,0.02,2.24,0.41,1.32,13.71,5.24,29,40,83,84,33
652,Shavy Babicka,ligue1,0.29,0.15,0.29,0.27,0.27,0.11,2.85,1.46,9.71,1.53,0.73,0.19,0.17,0.14,0.88,0.07,0.51,2.12,0.37,0.73,20,3.87,24,3,37,43,16
653,Sheraldo Becker,laliga,0.19,0.15,0.19,0.17,0.17,0.19,4.18,1.8,9.43,2.24,1.21,0.09,0.07,0.18,0.92,0.05,0.68,2.19,0.19,1.21,22.01,3.45,30,4,33,33,9
654,Shuto Machino,bundesliga,0.43,0.05,0.38,0.26,0.22,0.1,1.24,2.7,4.86,2.21,0.86,0.17,0.1,0.11,1.13,0.05,0.27,3.13,0.32,0.86,16.84,2.86,25,3.5,63,62,24
655,Silas Katompa,bundesliga,0.52,0.13,0.52,0.23,0.23,0.1,2.98,2.59,6.74,2.07,0.91,0.25,0.11,0.13,0.91,0.52,0.13,2.2,0.52,0.91,15.56,4.15,,,,,
656,Silvere Ganvoula MBoussy,seriea,0.11,0,0.11,0.22,0.22,0.03,1.22,0.89,4.43,1.88,0.78,0.06,0.12,0.01,0.22,0,0,1.11,0,0.78,11.31,3.1,,,,,
657,Simon Adingra,epl,0.14,0.07,0.14,0.2,0.2,0.21,3.86,1.62,10.54,2.53,0.77,0.06,0.08,0.27,1.41,0.28,0.42,3.79,0.42,0.77,25.57,6.6,23,30,24,28,6
658,Sirlord Conteh,bundesliga,0.11,0.11,0.11,0.23,0.23,0.26,2.97,2.09,7.58,1.43,0.55,0.08,0.16,0.14,1.43,0,0.22,2.97,0.44,0.55,15.71,3.41,28,1.5,13,30,6
659,Sofiane Diop,ligue1,0.39,0.33,0.39,0.45,0.45,0.2,2.6,5.28,5.6,1.95,0.85,0.2,0.23,0.23,2.21,1.04,0.26,4.17,0.59,0.85,24.03,2.93,24,12,27,36,18
660,Son Heung min,epl,0.34,0.31,0.25,0.35,0.26,0.36,4.49,4.66,11.84,2.46,1.07,0.1,0.11,0.22,2.18,0.23,0.23,5,0.57,1.07,29.83,5.68,,,,,
661,Sorba Thomas,ligue1,0.08,0.16,0.08,0.12,0.12,0.21,2.79,2.64,6.74,0.7,0.08,0.11,0.17,0.16,2.33,0,1.24,3.57,0.39,0.08,20.47,1.47,26,4,43,43,9
662,Stephy Mavididi,epl,0.22,0.06,0.22,0.1,0.1,0.14,5.07,3.18,7.69,1.45,0.39,0.15,0.07,0.18,1.23,0.33,0.39,2.79,0.39,0.39,23.46,3.4,26,11,48,54,19
663,Steve Mounie,bundesliga,0.14,0,0.14,0.53,0.53,0.13,1.82,2.38,6.73,4.07,1.4,0.03,0.14,0.08,0.98,0,0.28,2.24,0.42,1.4,18.64,6.45,30,3,3,11,0
664,Steven Skrzybski,bundesliga,0.53,0.18,0.44,0.3,0.23,0.16,1.4,4.21,5,2.37,0.97,0.19,0.1,0.23,1.49,0.26,0.53,3.51,0.26,0.97,15.89,3.51,32,1,37,38,20
665,Stoichkov,laliga,0,0.13,0,0.14,0.14,0.15,1.16,3.35,5.28,2.32,0.39,0,0.06,0.09,0.9,0.77,0.13,3.61,0.26,0.39,17.38,3.61,31,2,62,61,5
666,Suso,laliga,0,0.19,0,0.1,0.1,0.17,1.93,5.79,7.15,1.74,0.39,0,0.06,0.15,2.51,0.58,0.58,5.79,0.58,0.39,26.65,1.74,31,2.5,0,7,0
667,Takefusa Kubo,laliga,0.22,0.09,0.22,0.13,0.13,0.23,5.65,4.41,9.03,1.92,0.71,0.11,0.07,0.19,2.11,0.28,0.28,4.47,0.34,0.71,29.02,4.81,23,40,67,67,16
668,Takuma Asano,laliga,0.18,0,0.18,0.24,0.24,0.05,2.57,1.77,6.82,2.3,0.62,0.08,0.1,0.05,0.44,0,0.18,1.77,0.09,0.62,14.97,4.34,30,2.5,36,32,6
669,Takumi Minamino,ligue1,0.29,0.16,0.29,0.36,0.36,0.25,2.01,4.37,7.61,2.39,0.78,0.12,0.15,0.2,1.59,0.49,0.1,3.07,0.23,0.78,19.58,4.98,30,15,80,72,14
670,Tammy Abraham,seriea,0.32,0.27,0.27,0.51,0.42,0.16,1.08,2,5.52,2.06,0.92,0.13,0.2,0.09,1.14,0.32,0,2.27,0.65,0.92,12.45,4.87,27,15,75,66,38
671,Tanguy Coulibaly,ligue1,0.15,0,0.15,0.25,0.25,0.08,3.2,1.04,6.71,2.09,0.82,0.07,0.12,0.06,1.27,0.15,0.15,2.98,0.22,0.82,18.33,4.54,24,1.8,43,42,9
672,Tete Morente,seriea,0.15,0.05,0.15,0.13,0.13,0.05,2.31,4.52,6.19,1.72,0.59,0.09,0.08,0.04,0.98,0.1,0.44,2.6,0.1,0.59,16.75,1.72,28,2,64,62,17
673,Teun Koopmeiners,seriea,0.11,0.14,0.11,0.17,0.17,0.17,1.77,4.07,5.32,1.77,0.42,0.06,0.1,0.17,1.72,0.17,0.28,3.1,0.22,0.42,21.07,2.33,27,40,74,72,14
674,Theo Bair,ligue1,0.2,0.1,0.2,0.27,0.27,0.12,1.47,1.47,4.02,2.26,1.18,0.09,0.12,0.09,0.98,0,0,1.67,0.2,1.18,13.84,4.61,25,1.8,37,34,7
675,Thiago Almada,ligue1,0.21,0.21,0.21,0.24,0.24,0.22,3.01,8.42,4.57,2.91,0.62,0.07,0.08,0.18,1.14,0.21,0.21,3.95,0.83,0.62,27.44,2.39,23,25,38,51,10
676,Thierno Barry,laliga,0.46,0.14,0.41,0.55,0.51,0.11,1.74,1.01,4.58,3.07,1.01,0.13,0.17,0.06,0.82,0.05,0.05,1.79,0.18,1.01,14.02,5.08,22,14,71,73,25
678,Thijs Dallinga,seriea,0.33,0,0.33,0.42,0.42,0.04,0.71,1.37,5.77,2.8,1.04,0.12,0.16,0.04,0.71,0,0,2.25,0.33,1.04,16.16,4.95,24,12,67,62,25
679,Thomas Muller,bundesliga,0.21,0.36,0.21,0.32,0.32,0.26,2.07,4.18,10.64,2.32,0.88,0.09,0.14,0.39,2.43,0.41,0.78,4.65,0.83,0.88,31.21,7.8,35,6,30,37,6
680,Tiago Tomas,bundesliga,0.29,0.05,0.29,0.26,0.26,0.12,1.5,2.23,5.96,2.03,1.02,0.14,0.13,0.07,0.97,0.24,0.1,2.62,0.39,1.02,16.37,3.78,22,12,73,67,15
681,Tijjani Noslin,seriea,0.28,0.28,0.28,0.29,0.29,0.21,1.69,1.97,6.25,2.42,0.84,0.12,0.12,0.1,1.75,0.17,0.34,3.1,0.51,0.84,19.82,4.56,25,12,24,27,7
682,Tim Kleindienst,bundesliga,0.53,0.16,0.49,0.45,0.4,0.18,1.42,2.18,4.88,2.54,1.22,0.19,0.16,0.12,0.96,0.23,0.03,2.34,0.46,1.22,14.14,4.71,29,17,93,92,46
683,Tim Skarke,bundesliga,0,0.13,0,0.17,0.17,0.11,2.45,2.05,7.35,1.92,0.66,0,0.09,0.12,1.32,0,0.66,2.71,0.26,0.66,16.54,2.65,28,2.5,33,38,7
684,Timo Werner,epl,0,0.37,0,0.18,0.18,0.39,7.12,4.91,13.87,1.72,0.61,0,0.1,0.28,1.6,0.25,0.61,3.44,0.37,0.61,34.5,5.53,29,10,12,17,5
685,Timothy Weah,seriea,0.24,0.12,0.24,0.14,0.14,0.11,2.96,3.29,6.49,1.06,0.49,0.23,0.14,0.09,1.06,0.12,0.41,2.19,0.12,0.49,20.05,1.83,25,17,48,47,16
686,Tino Kadewere,ligue1,0.14,0.27,0.14,0.3,0.3,0.27,0.82,3.16,4.95,1.37,0.69,0.1,0.22,0.11,1.51,0.27,0,3.02,0.27,0.69,15.25,3.85,29,3,20,18,9
687,Tom Bischof,bundesliga,0.18,0.12,0.18,0.08,0.08,0.15,1.85,5.01,3.71,1.88,0.61,0.1,0.04,0.2,2.04,0.15,0.33,4.59,0.27,0.61,22.67,1.82,19,25,90,86,18
688,Tomas Conechny,laliga,0.12,0,0.12,0.28,0.28,0.04,1.45,2.05,7.12,2.41,1.09,0.05,0.12,0.1,0.84,0.24,0.97,1.33,0,1.09,21.84,3.74,27,2,27,27,3
689,Tomas Cvancara,bundesliga,0.11,0,0.11,0.38,0.38,0.04,1.59,2.12,5.5,3.07,0.95,0.03,0.13,0.03,0.42,0,0.21,1.69,0.21,0.95,15.33,3.91,24,4,20,25,2
690,Tomas Suslov,seriea,0.08,0.04,0.08,0.1,0.1,0.14,1.87,3.7,3.65,1.66,0.47,0.05,0.06,0.09,1.32,0.17,0.08,3.53,0.21,0.47,14.1,1.27,22,6,70,64,0
691,Tommaso Augello,seriea,0,0.21,0,0.01,0.01,0.16,2.06,4.01,4.19,0.25,0,0,0.04,0.17,1.35,0.04,1.06,2.45,0.25,0,19.33,0.35,30,1.8,76,77,18
692,Tommaso Baldanzi,seriea,0.06,0.06,0.06,0.16,0.16,0.08,3.85,2.88,6.25,2.34,0.3,0.03,0.07,0.09,0.84,0.24,0.06,3.73,0.36,0.3,25.65,4.09,22,14,15,25,4
693,Toni Martinez,laliga,0.4,0,0.4,0.3,0.3,0.06,1.3,1.1,5.01,4.4,1.5,0.09,0.07,0.09,1.1,0.2,0.1,2.6,0.1,1.5,18.12,6.91,27,2.8,26,32,12
694,Troy Parrott,eredivisie,0.42,0.11,0.21,0.55,0.38,0.32,1.05,3.37,6.53,2.11,0.74,0.1,0.18,0.22,2.11,0.42,0,3.69,0.32,0.74,17.81,4.95,23,9,90,81,33
695,Tyler Dibling,epl,0.11,0,0.11,0.13,0.13,0.08,3.58,3.15,4.81,1.5,0.48,0.07,0.09,0.07,1.07,0.43,0.05,2.94,0.21,0.48,18.65,2.14,19,25,55,57,13
696,Umar Sadiq,laliga,0.44,0.09,0.44,0.34,0.34,0.1,1.24,1.32,5.56,2.38,0.79,0.19,0.16,0.08,0.62,0,0.09,1.77,0.44,0.79,17.75,5.3,28,5,27,30,14
697,Umut Tohumcu,bundesliga,0.12,0.12,0.12,0.05,0.05,0.09,0.99,3.58,1.6,1.36,0.49,0.09,0.03,0.06,1.23,0.25,0.25,2.1,0.25,0.49,9.38,0.37,20,7,10,13,3
698,Unai Gomez,laliga,0.11,0.16,0.11,0.11,0.11,0.1,1.42,1.8,3.6,1.58,0.38,0.07,0.07,0.08,1.09,0.16,0,2.13,0.16,0.38,13.75,2.07,21,6,33,34,6
699,Valentin Barco,laliga,0,0.13,0,0.05,0.05,0.13,1.4,4.21,4.72,1.21,0.19,0,0.04,0.1,0.83,0.38,0.06,1.91,0.38,0.19,21.13,1.15,20,8,91,83,13
700,Valentin Castellanos,seriea,0.41,0.16,0.35,0.49,0.42,0.1,1.34,2.39,5.89,3.59,1.18,0.1,0.12,0.09,0.86,0.25,0.06,2.8,0.51,1.18,16.35,6.04,,,,,
701,Valentin Mihaila,seriea,0,0.21,0,0.17,0.17,0.08,1.75,2.86,5.03,2.17,0.77,0,0.08,0.08,1.19,0.21,0.21,3.35,0.35,0.77,21.73,2.17,25,3,48,44,8
702,Valentino Lazaro,seriea,0,0.33,0,0.04,0.04,0.16,1.41,2.81,4.88,0.58,0.08,0,0.06,0.15,1.24,0,0.62,1.94,0.41,0.08,20.15,0.95,29,4.5,70,69,18
703,Vedat Muriqi,laliga,0.37,0.08,0.29,0.47,0.38,0.09,0.86,1.39,5.15,2.53,0.82,0.11,0.15,0.07,1.1,0.16,0,2.04,0.25,0.82,14.78,5.19,31,8,61,59,29
704,Victor Boniface,bundesliga,0.73,0.06,0.61,0.75,0.61,0.07,2.63,1.96,6.31,4.29,1.35,0.14,0.14,0.11,0.67,0.37,0.12,2.39,0.37,1.35,18.86,6.67,24,45,40,37,16
705,Viktor Tsyhankov,laliga,0.17,0.3,0.17,0.19,0.19,0.17,2.67,3.71,10.04,1.85,0.47,0.09,0.1,0.25,1.68,0.17,0.39,3.41,0.52,0.47,27.59,4.01,,,,,
706,Vincenzo Grifo,bundesliga,0.29,0.4,0.29,0.3,0.21,0.25,2.46,5.11,5.88,2.43,0.92,0.12,0.09,0.28,2.39,0.37,0.4,4.56,0.51,0.92,23.01,2.87,32,7.5,90,79,42
707,Vinicius Junior,laliga,0.61,0.18,0.51,0.51,0.4,0.28,7.18,2.98,10.89,3.34,1.24,0.15,0.12,0.27,2.02,0.43,0.3,4.9,0.61,1.24,32.63,8.37,24,200,67,69,27
709,Vitinha,seriea,0.08,0.16,0.08,0.15,0.15,0.23,2.44,1.22,5.61,2.69,0.49,0.03,0.06,0.11,0.98,0.16,0.41,3.01,0.16,0.49,16.52,3.99,25,10,39,36,7
710,Vitor Roque,laliga,0.28,0,0.28,0.44,0.44,0.08,1.9,1.26,4.5,3.02,1.33,0.09,0.14,0.05,0.84,0.07,0.21,2.39,0.28,1.33,13.21,4.15,20,20,61,60,19
711,Wahbi Khazri,ligue1,0.09,0.09,0.09,0.19,0.19,0.19,2.23,2.83,4.54,2.91,0.51,0.03,0.06,0.15,1.54,0.17,0.43,3,0.17,0.51,18.43,2.91,34,1.5,33,39,9
713,Walid Cheddira,laliga,0.17,0.09,0.17,0.24,0.24,0.12,1.57,1.49,6.82,2.36,0.79,0.07,0.1,0.04,0.96,0,0,2.54,0.44,0.79,13.82,5.42,27,3,17,22,6
714,Wes Burns,epl,0,0.1,0,0.05,0.05,0.16,3.69,0.78,6.32,0.68,0.1,0,0.07,0.12,0.97,0,0.68,1.56,0.1,0.1,15.55,1.75,30,2.5,36,31,3
715,Wesley Said,ligue1,0.36,0,0.36,0.33,0.33,0.11,1.9,2.53,5.78,2.08,0.72,0.17,0.16,0.1,1.08,0.18,0.09,3.07,0,0.72,16.17,4.52,30,3.5,37,32,9
716,Williot Swedberg,laliga,0.26,0.2,0.26,0.31,0.31,0.14,2.15,1.82,7.87,2.02,0.98,0.13,0.15,0.16,0.85,0.13,0.13,2.08,0.39,0.98,19.9,4.68,21,5,39,38,12
717,Wilson Odobert,epl,0.18,0,0.18,0.24,0.24,0.14,6.03,3.15,8.01,2.25,0.63,0.08,0.11,0.1,0.9,0,0.27,2.52,0.09,0.63,26.46,5.22,20,18,18,17,0
718,Yan Couto,bundesliga,0,0,0,0.03,0.03,0.07,4.37,5.78,8.11,0.56,0.14,0,0.05,0.23,0.92,0.21,0.99,2.4,0.42,0.14,23.35,1.97,22,20,27,32,0
719,Yanis Zouaoui,ligue1,0,0.19,0,0.01,0.01,0.26,3.14,2.95,2.66,0.48,0.19,0,0.03,0.27,2.47,0,0.86,3.52,0.19,0.19,19.69,0.76,26,0.8,30,35,6
720,Yankuba Minteh,epl,0.31,0.24,0.31,0.23,0.23,0.29,3.86,2.14,9.43,1.71,0.8,0.18,0.13,0.28,1.53,0.12,0.37,3.18,0.61,0.8,22.96,6.86,20,30,48,50,17
