,Name,League,Goals,Assists,Non-Penalty Goals,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shots Total,Shots on Target,Goals/Shot,npxG/Shot,xA: Expected Assists,Key Passes,Through Balls,Crosses,Shot-Creating Actions,Goal-Creating Actions,Shots on Target.1,Touches (Att 3rd),Touches (Att Pen),Age,Market Value,Starting Eleven,Minutes,Goal Involvement
518,Munir El Haddadi,laliga,0.23,0,0.23,0.13,0.13,0.08,1.03,2.16,4.22,1.59,0.8,0.14,0.08,0.05,0.68,0.11,0.11,1.59,0.11,0.8,14.7,1.94,29,1.5,19,19,7
519,Musa Al Taamari,ligue1,0.16,0.1,0.16,0.26,0.26,0.19,3.95,2.34,6.39,2.13,0.73,0.07,0.12,0.16,1.35,0.1,0.05,3.38,0.36,0.73,20.36,4.93,,,,,
520,Mykhailo Mudryk,epl,0.16,0,0.16,0.17,0.17,0.3,3.8,2.69,5.86,1.58,0.79,0.1,0.11,0.14,1.9,0.16,0.16,3.17,0,0.79,18.22,3.01,,,,,
521,Myron Boadu,bundesliga,0.89,0.13,0.77,0.71,0.61,0.08,0.77,1.28,5.49,2.55,1.15,0.3,0.24,0.17,0.77,0,0.13,2.17,0.13,1.15,12.13,4.21,24,7,27,26,28
522,Nabil Bentaleb,ligue1,0.15,0,0.15,0.1,0.1,0.04,0.44,6.91,0.88,0.74,0.29,0.2,0.15,0.06,0.59,0.15,0,1.76,0,0.29,11.03,0.44,30,8,3,6,2
523,Nadir Zortea,seriea,0.2,0,0.2,0.1,0.1,0.07,2.43,2.17,4.83,1.17,0.43,0.17,0.08,0.07,1,0.03,0.77,2.1,0.07,0.43,13.99,1.03,25,4.5,85,78,15
524,Nasser Djiga,epl,0.12,0.12,0.12,0.02,0.02,0.09,1.58,4.01,0.97,0.36,0.12,0.33,0.07,0.06,0.24,0,0.12,0.61,0.24,0.12,3.89,1.09,22,10,0,2,0
525,Nathan Broadhead,epl,0.15,0,0.15,0.22,0.22,0.09,2.53,1.79,4.02,1.49,0.89,0.1,0.15,0.16,0.89,0.45,0,2.83,0.3,0.89,16.21,2.83,27,5,18,20,3
526,Nathan NGoumou,bundesliga,0.19,0.1,0.19,0.22,0.22,0.14,3.36,1.82,9.12,2.69,1.25,0.07,0.08,0.15,0.77,0.1,0.29,2.4,0.48,1.25,20.53,6.33,,,,,
527,Nathan Tella,bundesliga,0.16,0.11,0.16,0.2,0.2,0.07,2.78,1.93,9.1,1.93,0.59,0.08,0.11,0.1,1.07,0.11,0.16,2.57,0.32,0.59,20.87,4.6,25,18,47,44,6
529,Neal Maupay,epl,0.34,0.34,0.34,0.35,0.35,0.19,1.03,3.17,6.85,1.63,0.86,0.21,0.22,0.11,1.11,0.09,0,1.88,0.43,0.86,14.9,4.11,28,10,46,41,15
530,Nelson Weiper,bundesliga,0.39,0.13,0.39,0.53,0.53,0.22,1.81,1.3,8.16,2.72,1.42,0.14,0.2,0.08,1.04,0,0,1.68,0.13,1.42,21.76,6.22,20,6,23,25,8
531,Nick Woltemade,bundesliga,0.61,0.11,0.5,0.47,0.39,0.22,1.55,3.38,7.32,2.28,1.17,0.22,0.17,0.18,2,0.28,0,4.05,0.5,1.17,21.7,7.93,23,17,47,49,20
532,Niclas Fullkrug,epl,0.37,0.19,0.37,0.52,0.52,0.22,0.93,1.4,3.36,2.43,0.84,0.15,0.22,0.07,1.96,0,0,2.43,0.19,0.84,11.59,5.7,32,12,12,18,14
533,Nico Williams,laliga,0.34,0.28,0.34,0.24,0.24,0.18,5.82,3.15,11.7,2.58,0.99,0.13,0.09,0.19,2.07,0.11,0.4,5.05,0.68,0.99,31.6,5.2,22,70,64,65,20
534,Nicola Zalewski,seriea,0,0.15,0,0.06,0.06,0.16,5.18,2.63,8.78,1.13,0.15,0,0.05,0.17,1.8,0,0.98,3.68,0.23,0.15,25.97,3.08,23,10,25,39,0
535,Nicolas Dominguez,epl,0,0.06,0,0.08,0.08,0.07,0.72,3.53,1.44,0.99,0.39,0,0.08,0.07,0.72,0.22,0,1.6,0,0.39,13.25,1.33,26,17,25,38,0
536,Nicolas Gonzalez,seriea,0.31,0.13,0.31,0.31,0.31,0.06,1.79,3.76,7.21,2.82,1.39,0.11,0.11,0.08,0.99,0.27,0.13,2.28,0.31,1.39,20.61,3.85,,,,,
537,Nicolas Jackson,epl,0.44,0.2,0.44,0.57,0.57,0.17,2.41,1.7,5.9,3.15,1.32,0.14,0.18,0.08,1.29,0.17,0.03,3.12,0.37,1.32,14.99,5.77,23,55,76,69,24
538,Nicolas Paz,seriea,0.24,0.24,0.24,0.33,0.3,0.22,2.76,5.52,5.12,3.64,1.4,0.07,0.08,0.13,1.88,0.4,0.08,4.84,0.48,1.4,22.26,3.04,,,,,
539,Nicolas Pepe,laliga,0.09,0.19,0.09,0.24,0.24,0.24,4.23,3.86,10.82,2.82,1.32,0.03,0.08,0.22,1.5,0.28,0.19,3.48,0.28,1.32,33.01,5.55,29,6,31,36,5
